"""選課代號""","""授課教室""","""課程星期","""課程開始節次""","""課程結束節次"""
1317,資電512,四,6,6
1318,資電306,一,3,4
1318,資電103,四,4,4
1319,資電402,一,6,6
1319,資電504,二,3,4
1320,資電404,一,7,7
1320,資電404,四,7,8
1315,資電104,一,3,4
1315,資電104,二,4,4
1316,資電402,三,6,6
1316,資電504,五,1,2
1309,資電248,一,7,7
1309,資電205,一,1,2
1310,資電403,一,3,4
1310,資電306,四,2,2
1311,資電234,三,6,8
1312,資電234,二,6,8
1313,資電306,三,4,4
1313,資電103,四,2,3
1314,資電234,三,9,10
1321,資點403,一,3,4
1321,資電306,四,2,2
1322,資電404,三,11,13
1325,資電234,四,9,10
1328,資電403,二,9,10
1329,資電102,一,11,13
1346,資電518,一,9,10
1347,資電311,五,9,10
1348,資電403,二,7,8
1349,資電102,三,1,1
1349,資電102,一,1,2
1350,資電404,四,3,4
1351,資電204,三,5,5
1352,資電403,二,11,13
1353,資電102,三,8,9
1354,資電404,一,7,7
1355,資電234,五,3,4
1356,資電403,五,6,6
2134,商308,一,11,13
2135,體124,一,2,4
2136,忠B03,二,6,6
2137,商302,三,8,9
2138,商309,五,11,13
2139,商311,五,2,4
2148,科行204,二,1,2
2149,行206,三,11,13
2912,人407,一,1,2
2919,行政二館205,三,6,7
2964,男舍B11,一,6,7
2983,人B117A,二,3,4
3011,人708,二,3,4
