"""選課代號""","""課程名稱""","""開課班級""","""開課科系""","""開課年級""","""學分數""","""必選修""","""開課單位""","""開課人數""","""已收授人數""","""授課教師"""
1317,班級活動,資訊二丁,資訊,二,0,M,資訊工程學系,60,60,林哲維
1318,系統程式,資訊二丁,資訊,二,3,M,資訊工程學系,60,60,劉宗杰
1319,資料庫系統,資訊二丁,資訊,二,3,M,資訊工程學系,60,60,許懷中
1320,機率與統計,資訊二丁,資訊,二,3,M,資訊工程學系,60,60,劉怡芬
1315,系統程式,資訊二丙,資訊,二,3,M,資訊工程學系,54,52,黃志銘
1316,資料庫系統,資訊二丙,資訊,二,3,M,資訊工程學系,54,52,林明言
1309,機率論,資訊二丙,資訊,二,3,M,資訊工程學系,54,52,游景盛
1310,系統分析與設計,資訊二甲,資訊,二,3,O,資訊工程學系,80,0,蔡明翰
1311,互連網路,資訊二甲,資訊,二,3,O,資訊工程學系,70,0,劉宗杰
1312,多媒體系統,資訊二甲,資訊,二,3,O,資訊工程學系,70,0,葉春秀
1313,資訊與網路安全,資訊二甲,資訊,二,3,O,資訊工程學系,75,0,劉宗杰
1314,UNIX應用與實務,資訊二甲,資訊,二,2,O,資訊工程學系,73,0,竇其仁
1321,系統分析與設計,資訊二丙,資訊,二,3,O,資訊工程學系,85,0,洪振偉
1322,電子商務安全,資訊二丙,資訊,二,3,O,資訊工程學系,85,0,周澤捷
1325,UNIX應用與實務,資訊二甲,資訊,二,2,O,資訊工程學系,60,0,劉明機
1328,組合數學,資訊二甲,資訊,二,3,O,資訊工程學系,85,85,游景盛
1329,電子商務安全,資訊二甲,資訊,二,3,O,資訊工程學系,85,0,魏國瑞
1346,文獻研討(二),資訊碩一,資訊,碩一,1,M,資訊工程學系,40,30,林志敏
1347,文獻研討(二),資訊碩一,資訊,碩一,1,M,資訊工程學系,30,30,楊濬中
1348,資訊專題研討(二),資訊碩一,資訊,碩一,1,M,資訊工程學系,50,30,薛念林
1349,具體數學,資訊碩一,資訊,碩一,3,O,資訊工程學系,35,0,黃秀芬
1350,型樣識別,資訊碩一,資訊,碩一,3,O,資訊工程學系,30,0,劉怡芬
1351,研究報告寫作,資訊碩一,資訊,碩一,2,O,資訊工程學系,30,0,劉明機
1352,計算機視覺,資訊碩一,資訊,碩一,3,O,資訊工程學系,35,0,蔡明翰
1353,雲端計算,資訊碩一,資訊,碩一,3,O,資訊工程學系,30,0,林佩君
1354,無線隨意與感測網路技術與應用,資訊碩一,資訊,碩一,3,O,資訊工程學系,35,0,陳烈武
1355,知識管理與創新,資訊碩一,資訊,碩一,3,O,資訊工程學系,35,0,劉明機
1356,資料探勘,資訊碩一,資訊,碩一,3,O,資訊工程學系,35,0,林明言
2134,會計學(二),企管一乙,企管,一,3,M,企業管理學系,80,60,施念恕
2135,會計學(二)實習,企管一乙,企管,一,0,M,企業管理學系,80,60,張巧旻
2136,經濟學(二),企管一乙,企管,一,3,M,企業管理學系,84,60,陳依依
2137,經濟學(二)實習,企管一乙,企管,一,1,M,企業管理學系,84,60,范瑋庭
2138,管理學,企管一乙,企管,一,3,M,企業管理學系,80,60,張秀樺
2139,資訊網路,企管一乙,企管,一,2,M,企業管理學系,60,60,劉冠良
2148,商業規劃,企管一乙,企管,一,2,O,企業管理學系,60,0,王淑娟
2149,管理與統計,企管一乙,企管,一,3,O,企業管理學系,60,0,黃鼎翔
2912,電影與性別,通識－人文(H),通識,人文(H),2,O,通識核心課程,78,0,余國強
2919,生命科學,通識－自然(N),通識,自然(N),2,O,通識核心課程,80,0,葉怡巖
2964,服務學習專題,通識－社會(S),通識,社會(S),2,O,通識核心課程,80,0,宋懷德
2983,智慧綠台灣,通識－統合(M),通識,統合(M),2,O,通識核心課程,40,0,趙又嬋
3011,從人類學看世界,通識－統合(M),通識,統合(M),2,O,通識核心課程,30,0,陳玉苹
